=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.07.02 18:58:49 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.A05.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2610, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2620, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2630, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2640, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2650, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2660, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2670, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2680, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2690, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2700, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2710, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2720, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2731, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2741, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2751, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2761, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2771, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2781, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2791, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2801, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2811, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2821, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2831, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2841, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2851, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2861, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2871, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2881, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2891, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2902, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2912, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2922, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2932, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2942, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2952, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2962, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2972, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2982, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
2992, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3002, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3012, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3022, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3032, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3042, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3052, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3062, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3072, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3082, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3092, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3102, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
