=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:45:29 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Tem..39, 22.00, 0.05, 0.02, STANDBY, NONE
2620, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2630, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2640, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2650, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2660, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2670, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2680, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2690, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2700, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2710, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2720, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2731, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2741, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2751, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2761, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2771, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2781, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2791, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2801, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2811, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2821, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2831, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2841, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2851, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2861, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2871, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2881, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2891, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2902, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
2912, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2922, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
2932, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2942, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2952, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
2962, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2972, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
2982, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
2992, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3002, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3012, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3022, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3032, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3042, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3052, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3062, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3072, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
