=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:26:02 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Voltage, 0ANDBY, NONE
2440, 1.17, 22.00, 0.26, 0.01, STANDBY, NONE
2450, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2460, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2470, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2480, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2490, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2500, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2510, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
2520, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2530, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2540, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
2550, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
2560, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2570, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2580, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2590, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
2600, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2610, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
2620, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2630, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2640, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2650, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2660, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
2670, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2680, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2690, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2700, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2710, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2720, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2731, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2741, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2751, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
