=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.25 10:00:56 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Volt0 0.39A. HFCC is: 0ms. Int'vl is: 11ms. 10934, 0.39, 21.00, 0.26, 0.00, STANDBY, TANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 987, 0.00, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 997, 0.00, 21.00, 0.18, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1007, 0.00, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1017, 0.39, 21.00, 0.03, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 1028, 0.00, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1038, 0.00, 21.00, 0.03, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1048, 0.00, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 9ms. 1058, 0.00, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1069, 0.00, 21.00, 0.28, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1079, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1089, 0.00, 21.00, 0.26, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1099, -0.39, 21.00, 0.28, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1110, 0.00, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1120, 0.00, 21.00, 0.26, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 6ms. 1135, 0.39, 21.00, 0.26, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1145, 0.39, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1156, 0.00, 21.00, 0.23, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1166, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1176, 0.39, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 1186, 0.00, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: -0.39A. HFCC is: 0ms. Int'vl is: 10ms. 1197, 0.00, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1207, 0.39, 21.00, 0.00, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1217, 0.00, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1227, 0.39, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 9ms. 1238, 0.00, 21.00, 0.03, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1248, -0.39, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1258, 0.78, 21.00, 0.00, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1268, 0.00, 21.00, 0.28, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1278, 0.00, 21.00, 0.26, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1288, 0.39, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1298, 0.00, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1308, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1318, 0.00, 21.00, 0.26, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 1329, 0.00, 21.00, 0.23, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 1339, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 1349, 0.00, 21.00, 0.00, -0.03, STANDBY, NONE
