=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 15:36:44 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., VoltageB-0.12, STANDBY, NONE
2480, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2490, 529, 24.00, 16.56, -0.14, STANDBY, NONE
2500, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2510, 528, 24.00, 16.59, -0.14, STANDBY, NONE
2520, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2530, 529, 24.00, 16.61, -0.14, STANDBY, NONE
2540, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2550, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2560, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2570, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2580, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2590, 528, 24.00, 16.61, -0.13, STANDBY, NONE
2600, 530, 24.00, 16.59, -0.13, STANDBY, NONE
2610, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2620, 529, 24.00, 16.61, -0.13, STANDBY, NONE
2630, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2640, 529, 24.00, 16.61, -0.13, STANDBY, NONE
2650, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2660, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2670, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2680, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2690, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2700, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2710, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2720, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2731, 529, 24.00, 16.61, -0.14, STANDBY, NONE
2741, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2751, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2761, 529, 24.00, 16.61, -0.13, STANDBY, NONE
2771, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2781, 528, 24.00, 16.59, -0.13, STANDBY, NONE
2791, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2801, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2811, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2821, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2831, 528, 24.00, 16.59, -0.14, STANDBY, NONE
2841, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2851, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2861, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2871, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2881, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2891, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2902, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2912, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2922, 529, 24.00, 16.61, -0.14, STANDBY, NONE
2932, 528, 24.00, 16.61, -0.14, STANDBY, NONE
2942, 529, 24.00, 16.61, -0.14, STANDBY, NONE
2952, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2962, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2972, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2982, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2992, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3002, 528, 24.00, 16.59, -0.13, STANDBY, NONE
3012, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3022, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3032, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3042, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3052, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3062, 530, 24.00, 16.59, -0.13, STANDBY, NONE
3072, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3082, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3092, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3102, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3112, 528, 24.00, 16.59, -0.14, STANDBY, NONE
3122, 529, 24.00, 16.61, -0.15, STANDBY, NONE
3132, 529, 24.00, 16.61, -0.14, STANDBY, NONE
3142, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3152, 528, 24.00, 16.59, -0.14, STANDBY, NONE
3162, 529, 24.00, 16.61, -0.14, STANDBY, NONE
3172, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3182, 529, 25.00, 16.61, -0.14, STANDBY, NONE
3192, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3202, 529, 24.00, 16.56, -0.14, STANDBY, NONE
3212, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3222, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3232, 528, 25.00, 16.61, -0.14, STANDBY, NONE
3243, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3253, 530, 24.00, 16.59, -0.14, STANDBY, NONE
3263, 529, 24.00, 16.56, -0.14, STANDBY, NONE
3273, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3283, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3293, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3303, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3313, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3323, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3333, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3343, 529, 24.00, 16.61, -0.14, STANDBY, NONE
3353, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3363, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3373, 528, 24.00, 16.56, -0.14, STANDBY, NONE
3383, 530, 24.00, 16.59, -0.14, STANDBY, NONE
3393, 529, 24.00, 16.61, -0.14, STANDBY, NONE
3403, 530, 24.00, 16.59, -0.13, STANDBY, NONE
3414, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3424, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3434, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3444, 529, 25.00, 16.59, -0.14, STANDBY, NONE
3454, 529, 24.00, 16.56, -0.14, STANDBY, NONE
3464, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3474, 529, 24.00, 16.61, -0.14, STANDBY, NONE
3484, 530, 24.00, 16.59, -0.14, STANDBY, NONE
3494, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3504, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3514, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3524, 529, 24.00, 16.61, -0.13, STANDBY, NONE
3534, 529, 25.00, 16.59, -0.14, STANDBY, NONE
3544, 529, 24.00, 16.56, -0.14, STANDBY, NONE
3554, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3564, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3574, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3584, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3594, 529, 24.00, 16.56, -0.13, STANDBY, NONE
3604, 529, 25.00, 16.59, -0.13, STANDBY, NONE
3614, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3624, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3634, 528, 24.00, 16.59, -0.13, STANDBY, NONE
3644, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3654, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3664, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3674, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3684, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3694, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3704, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3714, 529, 25.00, 16.61, -0.14, STANDBY, NONE
3724, 530, 24.00, 16.59, -0.13, STANDBY, NONE
3734, 530, 24.00, 16.56, -0.13, STANDBY, NONE
3744, 530, 24.00, 16.56, -0.14, STANDBY, NONE
3755, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3765, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3775, 529, 24.00, 16.56, -0.14, STANDBY, NONE
3785, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3795, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3805, 529, 25.00, 16.59, -0.13, STANDBY, NONE
3815, 529, 24.00, 16.56, -0.13, STANDBY, NONE
3825, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3835, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3845, 530, 24.00, 16.61, -0.14, STANDBY, NONE
3855, 529, 25.00, 16.59, -0.13, STANDBY, NONE
3865, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3875, 528, 24.00, 16.59, -0.13, STANDBY, NONE
