=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.30 16:03:26 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.5, -40.00, 0.54, -0.97, ALARM, LOW_FC_TEMP
1938, 5.86, -40.00, 0.60, -0.85, ALARM, LOW_FC_TEMP
1948, 5.86, -40.00, 0.41, -0.46, ALARM, LOW_FC_TEMP
1958, 5.86, -40.00, 0.65, -0.82, ALARM, LOW_FC_TEMP
1968, 6.25, -40.00, 0.54, -0.54, ALARM, LOW_FC_TEMP
1978, 6.25, -40.00, 0.60, -0.85, ALARM, LOW_FC_TEMP
1988, 5.86, -40.00, 0.54, -0.53, ALARM, LOW_FC_TEMP
1998, 5.86, -40.00, 0.60, -0.80, ALARM, LOW_FC_TEMP
2008, 5.86, -40.00, 0.54, -0.49, ALARM, LOW_FC_TEMP
2018, 6.25, -40.00, 0.44, -0.83, ALARM, LOW_FC_TEMP
2028, 5.86, -40.00, 0.52, -0.49, ALARM, LOW_FC_TEMP
2038, 5.86, -40.00, 0.44, -0.80, ALARM, LOW_FC_TEMP
2048, 6.25, -40.00, 0.39, -0.47, ALARM, LOW_FC_TEMP
2058, 5.86, -40.00, 0.67, -0.84, ALARM, LOW_FC_TEMP
2068, 6.25, -40.00, 0.39, -0.49, ALARM, LOW_FC_TEMP
2078, 5.86, -40.00, 0.62, -0.79, ALARM, LOW_FC_TEMP
2088, 5.86, -40.00, 0.49, -0.61, ALARM, LOW_FC_TEMP
2098, 6.25, -40.00, 0.62, -0.84, ALARM, LOW_FC_TEMP
2108, 5.86, -40.00, 0.54, -0.50, ALARM, LOW_FC_TEMP
2118, 6.25, -40.00, 0.62, -0.77, ALARM, LOW_FC_TEMP
2128, 6.25, -40.00, 0.44, -0.55, ALARM, LOW_FC_TEMP
2138, 5.86, -40.00, 0.47, -0.85, ALARM, LOW_FC_TEMP
2148, 5.86, -40.00, 0.57, -0.49, ALARM, LOW_FC_TEMP
2158, 6.25, -40.00, 0.36, -0.81, ALARM, LOW_FC_TEMP
2168, 5.86, -40.00, 0.54, -0.64, ALARM, LOW_FC_TEMP
2178, 6.25, -40.00, 0.60, -0.83, ALARM, LOW_FC_TEMP
2188, 5.86, -40.00, 0.49, -0.47, ALARM, LOW_FC_TEMP
2198, 6.25, -40.00, 0.62, -0.81, ALARM, LOW_FC_TEMP
2208, 5.86, -40.00, 0.57, -0.59, ALARM, LOW_FC_TEMP
2219, 5.86, -40.00, 0.65, -0.82, ALARM, LOW_FC_TEMP
2229, 5.86, -40.00, 0.57, -0.67, ALARM, LOW_FC_TEMP
2239, 6.25, -40.00, 0.60, -0.80, ALARM, LOW_FC_TEMP
2249, 5.86, -40.00, 0.60, -0.74, ALARM, LOW_FC_TEMP
2259, 6.25, -40.00, 0.60, -0.79, ALARM, LOW_FC_TEMP
2269, 5.86, -40.00, 0.62, -0.70, ALARM, LOW_FC_TEMP
2279, 6.25, -40.00, 0.67, -0.83, ALARM, LOW_FC_TEMP
2289, 6.25, -40.00, 0.39, -0.61, ALARM, LOW_FC_TEMP
2299, 6.25, -40.00, 0.60, -0.78, ALARM, LOW_FC_TEMP
2309, 5.86, -40.00, 0.54, -0.67, ALARM, LOW_FC_TEMP
2319, 5.86, -40.00, 0.65, -0.85, ALARM, LOW_FC_TEMP
2329, 6.25, -40.00, 0.54, -0.72, ALARM, LOW_FC_TEMP
2339, 5.86, -40.00, 0.60, -0.80, ALARM, LOW_FC_TEMP
2349, 6.25, -40.00, 0.52, -0.63, ALARM, LOW_FC_TEMP
2359, 5.86, -40.00, 0.62, -0.81, ALARM, LOW_FC_TEMP
2369, 5.86, -40.00, 0.57, -0.69, ALARM, LOW_FC_TEMP
2379, 6.25, -40.00, 0.62, -0.79, ALARM, LOW_FC_TEMP
2390, 5.86, -40.00, 0.60, -0.80, ALARM, LOW_FC_TEMP
2400, 6.25, -40.00, 0.41, -0.81, ALARM, LOW_FC_TEMP
2410, 6.25, -40.00, 0.60, -0.86, ALARM, LOW_FC_TEMP
2420, 6.25, -40.00, 0.44, -0.76, ALARM, LOW_FC_TEMP
2430, 6.25, -40.00, 0.60, -0.96, ALARM, LOW_FC_TEMP
2440, 5.86, -40.00, 0.60, -0.78, ALARM, LOW_FC_TEMP
2450, 5.86, -40.00, 0.54, -0.83, ALARM, LOW_FC_TEMP
2460, 6.25, -40.00, 0.44, -0.74, ALARM, LOW_FC_TEMP
2470, 5.86, -40.00, 0.60, -0.91, ALARM, LOW_FC_TEMP
2480, 6.25, -40.00, 0.57, -0.78, ALARM, LOW_FC_TEMP
2490, 5.86, -40.00, 0.34, -0.81, ALARM, LOW_FC_TEMP
2500, 6.25, -40.00, 0.67, -0.71, ALARM, LOW_FC_TEMP
2510, 6.25, -40.00, 0.49, -0.89, ALARM, LOW_FC_TEMP
2520, 5.86, -40.00, 0.60, -0.81, ALARM, LOW_FC_TEMP
2530, 5.86, -40.00, 0.60, -0.86, ALARM, LOW_FC_TEMP
2540, 6.25, -40.00, 0.54, -0.74, ALARM, LOW_FC_TEMP
2550, 6.25, -40.00, 0.36, -0.88, ALARM, LOW_FC_TEMP
2560, 5.86, -40.00, 0.41, -0.81, ALARM, LOW_FC_TEMP
2570, 6.25, -40.00, 0.57, -0.82, ALARM, LOW_FC_TEMP
2580, 6.25, -40.00, 0.57, -0.75, ALARM, LOW_FC_TEMP
2590, 6.25, -40.00, 0.54, -0.94, ALARM, LOW_FC_TEMP
2600, 6.25, -40.00, 0.57, -0.74, ALARM, LOW_FC_TEMP
2610, 5.86, -40.00, 0.60, -0.82, ALARM, LOW_FC_TEMP
2620, 6.25, -40.00, 0.47, -0.77, ALARM, LOW_FC_TEMP
2630, 6.25, -40.00, 0.57, -0.87, ALARM, LOW_FC_TEMP
2640, 5.86, -40.00, 0.62, -0.75, ALARM, LOW_FC_TEMP
2650, 6.25, -40.00, 0.52, -0.80, ALARM, LOW_FC_TEMP
2660, 6.64, -40.00, 0.62, -0.75, ALARM, LOW_FC_TEMP
2670, 6.25, -40.00, 0.54, -0.87, ALARM, LOW_FC_TEMP
2680, 6.25, -40.00, 0.47, -0.77, ALARM, LOW_FC_TEMP
2690, 6.25, -40.00, 0.41, -0.72, ALARM, LOW_FC_TEMP
2700, 6.25, -40.00, 0.54, -0.76, ALARM, LOW_FC_TEMP
2710, 5.86, -40.00, 0.54, -0.84, ALARM, LOW_FC_TEMP
2720, 6.25, -40.00, 0.57, -0.73, ALARM, LOW_FC_TEMP
2731, 5.86, -40.00, 0.57, -0.93, ALARM, LOW_FC_TEMP
2741, 6.64, -40.00, 0.62, -0.67, ALARM, LOW_FC_TEMP
2751, 5.86, -40.00, 0.57, -0.98, ALARM, LOW_FC_TEMP
2761, 6.25, -40.00, 0.49, -0.68, ALARM, LOW_FC_TEMP
2771, 5.86, -40.00, 0.54, -1.03, ALARM, LOW_FC_TEMP
2781, 6.25, -40.00, 0.65, -0.68, ALARM, LOW_FC_TEMP
2791, 6.25, -40.00, 0.52, -0.95, ALARM, LOW_FC_TEMP
2801, 6.64, -40.00, 0.60, -0.60, ALARM, LOW_FC_TEMP
2811, 5.86, -40.00, 0.57, -1.00, ALARM, LOW_FC_TEMP
2821, 6.25, -40.00, 0.60, -0.69, ALARM, LOW_FC_TEMP
2831, 6.25, -40.00, 0.41, -0.92, ALARM, LOW_FC_TEMP
2841, 6.25, -40.00, 0.60, -0.63, ALARM, LOW_FC_TEMP
