=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.24 16:19:51 =~=~=~=~=~=~=~=~=~=~=~=
81056, 0.00, 28.00, 10.66, -0.53, ALARM, L6_VOLTAGE
3474, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3484, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
3494, 0.00, 27.00, 0.91, -0.37, STANDBY, NONE
3504, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3514, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3524, 0.00, 27.00, 0.72, -0.37, STANDBY, NONE
3534, -0.39, 27.00, 0.72, -0.41, STANDBY, NONE
3544, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
3554, -0.39, 27.00, 0.91, -0.41, STANDBY, NONE
3564, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
3574, 0.00, 28.00, 0.72, -0.37, STANDBY, NONE
3584, 0.39, 27.00, 0.78, -0.37, STANDBY, NONE
3594, 0.00, 27.00, 0.88, -0.41, STANDBY, NONE
3604, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3614, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
3624, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
3634, 0.00, 28.00, 0.70, -0.41, STANDBY, NONE
3644, 0.00, 27.00, 0.70, -0.37, STANDBY, NONE
3654, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3664, 0.00, 27.00, 0.88, -0.37, STANDBY, NONE
3674, -0.39, 27.00, 0.91, -0.41, STANDBY, NONE
3684, 0.00, 28.00, 0.75, -0.37, STANDBY, NONE
3694, -0.39, 27.00, 0.75, -0.41, STANDBY, NONE
3704, 0.00, 27.00, 0.88, -0.37, STANDBY, NONE
3714, 0.00, 28.00, 0.70, -0.41, STANDBY, NONE
3724, 0.00, 27.00, 0.91, -0.34, STANDBY, NONE
3734, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
3744, 0.00, 27.00, 0.70, -0.37, STANDBY, NONE
3755, 0.00, 28.00, 0.98, -0.41, STANDBY, NONE
3765, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
3775, 0.00, 28.00, 0.70, -0.37, STANDBY, NONE
3785, 0.39, 28.00, 0.72, -0.37, STANDBY, NONE
3795, 0.00, 28.00, 0.98, -0.41, STANDBY, NONE
3805, -0.39, 27.00, 0.88, -0.41, STANDBY, NONE
3815, 0.00, 27.00, 0.75, -0.41, STANDBY, NONE
3825, -0.39, 27.00, 0.72, -0.37, STANDBY, NONE
3835, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3845, 0.00, 27.00, 0.88, -0.37, STANDBY, NONE
3855, -0.39, 28.00, 0.72, -0.41, STANDBY, NONE
3865, 0.39, 27.00, 0.70, -0.41, STANDBY, NONE
3875, 0.00, 27.00, 0.88, -0.37, STANDBY, NONE
3885, 0.00, 28.00, 0.72, -0.41, STANDBY, NONE
3895, 0.00, 28.00, 0.93, -0.41, STANDBY, NONE
3905, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
3915, 0.00, 27.00, 0.91, -0.41, STANDBY, NONE
3926, 0.00, 27.00, 0.88, -0.44, STANDBY, NONE
3936, -0.39, 27.00, 0.75, -0.41, STANDBY, NONE
3946, -0.39, 27.00, 0.88, -0.41, STANDBY, NONE
3956, 0.00, 28.00, 0.72, -0.37, STANDBY, NONE
3966, 0.00, 27.00, 0.70, -0.44, STANDBY, NONE
3976, -0.39, 27.00, 0.70, -0.37, STANDBY, NONE
3986, -0.39, 28.00, 0.96, -0.41, STANDBY, NONE
3996, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
4006, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
4016, -0.39, 27.00, 0.72, -0.37, STANDBY, NONE
4026, 0.00, 27.00, 0.70, -0.37, STANDBY, NONE
4036, -0.39, 27.00, 0.88, -0.41, STANDBY, NONE
4046, 0.00, 28.00, 0.75, -0.37, STANDBY, NONE
4056, 0.00, 27.00, 0.70, -0.41, STANDBY, NONE
4066, 0.00, 27.00, 0.72, -0.44, STANDBY, NONE
4076, 0.00, 28.00, 0.72, -0.41, STANDBY, NONE
4086, -0.39, 27.00, 0.70, -0.41, STANDBY, NONE
4096, 0.00, 27.00, 0.88, -0.41, STANDBY, NONE
4106, 0.39, 27.00, 0.70, -0.34, STANDBY, NONE
4116, 0.00, 27.00, 0.75, -0.37, STANDBY, NONE
4126, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
4136, 0.00, 27.00, 0.88, -0.41, STANDBY, NONE
4146, 0.00, 27.00, 0.88, -0.44, STANDBY, NONE
4156, 0.00, 27.00, 0.88, -0.41, STANDBY, NONE
4166, 0.00, 27.00, 0.72, -0.41, STANDBY, NONE
4176, -0.39, 27.00, 0.72, -0.41, STANDBY, NONE
