=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:53:44 =~=~=~=~=~=~=~=~=~=~=~=
1676, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
1686, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1696, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1707, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1717, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1727, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1737, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
1747, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1757, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
1767, 0.00, 27.00, 17.47, 0.21, STANDBY, NONE
1777, 0.00, 27.00, 17.47, 0.21, STANDBY, NONE
1787, 0.00, 27.00, 17.47, 0.21, STANDBY, NONE
1797, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1807, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1817, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
1827, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
1837, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
1847, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
1857, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
1867, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1878, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
1888, 0.00, 27.00, 17.47, 0.21, STANDBY, NONE
1898, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1908, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1918, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
1928, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
1938, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
1948, 0.00, 27.00, 17.47, 0.21, STANDBY, NONE
1958, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
1968, 0.39, 27.00, 17.49, 0.21, STANDBY, NONE
1978, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
1988, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
1998, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2008, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2018, 0.00, 27.00, 17.39, 0.19, STANDBY, NONE
2028, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
2038, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2048, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2058, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2068, 0.00, 26.00, 17.47, 0.20, STANDBY, NONE
2078, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2088, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2098, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2108, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2118, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2128, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2138, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2148, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
2158, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2168, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2178, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2188, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2198, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2208, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2219, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
2229, 0.78, 27.00, 17.47, 0.20, STANDBY, NONE
2239, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
2249, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
2259, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2269, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2279, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2289, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
2299, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2309, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2319, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2329, 0.00, 26.00, 17.49, 0.20, STANDBY, NONE
2339, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2349, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
2359, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
2369, 0.39, 26.00, 17.42, 0.21, STANDBY, NONE
2379, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2390, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2400, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2410, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2420, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2430, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
2440, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2450, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2460, 0.00, 27.00, 17.42, 0.19, STANDBY, NONE
2470, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2480, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2490, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2500, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2510, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2520, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2530, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2540, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2550, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2560, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2570, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2580, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2590, 0.00, 26.00, 17.47, 0.20, STANDBY, NONE
2600, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
2610, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2620, 0.39, 27.00, 17.42, 0.19, STANDBY, NONE
2630, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2640, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2650, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2660, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2670, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2680, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2690, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2700, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2710, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2720, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2731, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2741, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
2751, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2761, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2771, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
2781, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2791, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2801, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2811, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2821, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2831, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
2841, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2851, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2861, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
2871, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2881, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2891, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2902, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2912, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2922, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
2932, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2942, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
2952, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
2962, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
2972, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
2982, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
2992, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3002, 0.39, 27.00, 17.52, 0.19, STANDBY, NONE
3012, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3022, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3032, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3042, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
3052, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
